Date,Vaar,"Sun
rise","Sun
Set","Moon
rise",Masa,Paksha,Tithi,Nakshatra,Yoga    ,Karana,Sun,Moon,Rahukala,Yamaganda,Gulikai        ,"Abhijit
Muhurtha",Durmuhurtha,Varjyam     ,Amritkalam,Surya Nakshatra,Tamil Yoga,Astha/Udaya,Anandadi Yoga,Fire Location
43466,Tue,06:45:10,18:08:20,02:31:34,Margasira,Krishna,Ekadashi 25:28:30+,Svaati 08:44:13,Dhriti 26:41:38+ ,"Bava 13:18:35

Balava 25:28:30+",Dhanus ,Tula ,15:17:32-16:42:56,09:35:58-11:01:21,12:26:45-13:52:09,12:03:59-12:49:31,"09:01:48-09:47:21
23:11:13-24:01:42",14:33:09-16:12:51,24:31:20-26:11:02,P.shadha ,"Siddha 08:44:13, Marana , ",,"Dhawaja 08:44:13, Sreevatsa , ","Agnivasa: in Paatala till 25:28:30+
Agnivasa: on Earth"
43467,Wed,06:45:34,18:08:53,03:23:07,Margasira,Krishna,Dvadashi 26:10:40+,Vishaakha 09:39:39,Shuula 26:03:51+ ,"Kaulava 13:45:56

Taitila 26:10:40+",Dhanus ,Vrishchika from 03:23:05,12:27:13-13:52:38,08:10:58-09:36:23,11:01:48-12:27:13,none,12:04:27-12:50:00,13:53:37-15:35:12,24:03:06-25:44:41,P.shadha ,"Siddha , ",,"Dhaatru 09:39:39, Sowmya , ","Agnivasa: on Earth till 26:10:40+
Agnivasa: in Heaven"
43468,Thu,06:45:56,18:09:27,04:14:51,Margasira,Krishna,Trayodashi 27:21:06+,Anuraadha 11:03:24,Ganda 25:47:31+ ,"Garaja 14:42:28

Vanija 27:21:06+",Dhanus ,Vrishchika ,13:53:08-15:18:34,06:45:56-08:11:22,09:36:49-11:02:15,12:04:54-12:50:28,"10:33:46-11:19:20
15:07:10-15:52:45",17:05:05-18:48:26,27:25:08-29:08:29,P.shadha ,"Siddha 11:03:24, Marana , ",,"Ananda 11:03:24, Kaldanda , ","Agnivasa: in Paatala till 27:21:06+
Agnivasa: on Earth"
43469,Fri,06:46:18,18:10:00,05:06:37,Margasira,Krishna,Chaturdashi 28:57:46+,Jyeshtha 12:53:31,Vriddhi 25:50:59+ ,"Vishti 16:06:18

Shakuni 28:57:46+",Dhanus ,Dhanus from 12:53:31,11:02:41-12:28:09,15:19:05-16:44:32,08:11:46-09:37:14,12:05:22-12:50:57,"09:03:02-09:48:37
12:50:57-13:36:31",,,P.shadha ,"Marana 12:53:31, Amrita , ",,"Chara 12:53:31, Sthira , ","Agnivasa: on Earth till 28:57:46+
Agnivasa: in Heaven"
43470,Sat,06:46:39,18:10:34,05:57:55,Margasira,Krishna,Amavasya full night,Mula 15:07:45,Dhruva 26:12:24+ ,"Chatushpad 17:55:09

Nagava full night",Dhanus ,Dhanus ,09:37:38-11:03:07,13:54:06-15:19:35,06:46:39-08:12:08,12:05:49-12:51:24,"06:46:39-07:32:15
07:32:15-08:17:50","13:22:48-15:07:45
25:45:57-27:32:19",08:07:57-09:52:54,P.shadha ,"Siddha , ",,"Gadha 15:07:45, Mathanga , ","Agnivasa: in Paatala till full night
Agnivasa: in Heaven"
43471,Sun,06:46:59,18:11:08,06:48:01,Margasira,Krishna,Amavasya 06:58:04,P.shadha 17:43:14,Vyaghata 26:49:19+ ,"Nagava 06:58:04

Kimstughna 20:06:03",Dhanus ,Dhanus ,16:45:37-18:11:08,12:29:03-13:54:34,15:20:06-16:45:37,12:06:15-12:51:52,16:39:55-17:25:31,26:40:51-28:28:22,12:24:08-14:10:30,P.shadha ,"Siddha 17:43:14, Amrita , ",,"Subha 17:43:14, Amrutha , ",Agnivasa: on Earth
43472,Mon,06:47:18,18:11:41,07:36:14,Pausha,Shukla,Prathama 09:18:32,"U.shada 20:36:04
Abhijit Nakshatra Start: 13:51:30, Abhijit Nakshatra End: 22:24:05, ",Harshana 27:38:31+ ,"Bava 09:18:32

Balava 22:34:51",Dhanus ,Makara from 00:25:00,08:12:51-09:38:24,11:03:57-12:29:30,13:55:03-15:20:36,12:06:41-12:52:19,"12:52:19-13:37:56
15:09:11-15:54:49",25:06:51-26:55:09,13:25:59-15:13:30,P.shadha ,"Marana 20:36:04, Amrita , ",,"Mrutyu 13:51:30, Kala 22:24:05, Siddha , ","Agnivasa: on Earth till 09:18:32
Agnivasa: in Heaven"
43473,Tue,06:47:36,18:12:15,08:22:05,Pausha,Shukla,Dvitiiya 11:54:13,Shravana 23:40:45,Vajra 28:35:39+ ,"Kaulava 11:54:13

Taitila 25:15:43+",Dhanus ,Makara ,15:21:05-16:46:40,09:38:46-11:04:21,12:29:56-13:55:31,12:07:06-12:52:45,"09:04:32-09:50:11
23:14:31-24:04:53",28:12:17-30:00:54,11:56:43-13:45:02,P.shadha ,"Siddha , ",,"Lamba 23:40:45, Utpatha , ","Agnivasa: in Paatala till 11:54:13
Agnivasa: on Earth"
43474,Wed,06:47:54,18:12:49,09:05:28,Pausha,Shukla,Tritiiya 14:38:19,Dhanishta 26:49:56+,Siddhi 29:35:07+ ,"Garaja 14:38:19

Vanija 28:00:51+",Dhanus ,Kumbha from 13:15:19,12:30:21-13:55:58,08:13:31-09:39:07,11:04:44-12:30:21,none,12:07:31-12:53:11,,15:03:57-16:52:34,P.shadha ,"Marana 26:49:56+, Siddha , ",,"Mitra 26:49:56+, Manasa , ","Agnivasa: on Earth till 14:38:19
Agnivasa: in Heaven"
43475,Thu,06:48:10,18:13:22,09:46:37,Pausha,Shukla,Chaturthi 17:22:00,Shatabhisha 29:54:21+,Vyatipata 30:30:05+ ,"Vishti 17:22:00

Bava 30:40:25+",Dhanus ,Kumbha ,13:56:25-15:22:04,06:48:10-08:13:49,09:39:28-11:05:07,12:07:56-12:53:36,"10:36:34-11:22:15
15:10:39-15:56:20",10:57:16-12:45:33,21:47:02-23:35:19,P.shadha ,"Marana 29:54:21+, Siddha , ",,"Vajra 29:54:21+, Mudgara , ","Agnivasa: in Paatala till 17:22:00
Agnivasa: on Earth"
