,Date,Vaar,Sunrise,SunSet,Moonrise,Masa,Paksha,Tithi,Nakshatra,Yoga,Sun,Moon,SuryaNakshatra,TamilYoga,AnandadiYoga,Rahukala_Start,Rahukala_end,Yamaganda_Start,Yamaganda_end,Gulikai_Start,Gulikai_end
0,43831,Wed,24305,65291,40651,Pausha,Shukla,Shashthi,P.Bhadrapada,Vyatipata,Dhanus,Mina,P.shadha,Amrita,Padma,44798,49921,29428,34551,39675,44798
1,43832,Thu,24328,65325,42877,Pausha,Shukla,Saptami,U.Bhadrapada,Variyan,Dhanus,Mina,P.shadha,Siddha,Chatra,49951,55076,24328,29453,34577,39702
2,43833,Fri,24351,65358,45066,Pausha,Shukla,Ashtami,U.Bhadrapada,Parigha,Dhanus,Mina,P.shadha,Siddha,Dhawaja,39729,44855,55106,60232,29477,34603
3,43834,Sat,24373,65392,47280,Pausha,Shukla,Navami,Revati,Shiva,Dhanus,Mesha,P.shadha,Marana,Dhaatru,34628,39755,50010,55137,24373,29500
4,43835,Sun,24394,65426,49586,Pausha,Shukla,Dashami,Ashvini,Siddha,Dhanus,Mesha,P.shadha,Siddha,Ananda,60297,65426,44910,50039,55168,60297
5,43836,Mon,24414,65459,52048,Pausha,Shukla,Ekadashi,Bharani,Sadhya,Dhanus,Vrishabha,P.shadha,Siddha,Chara,29545,34675,39806,44937,50067,55198
6,43837,Tue,24433,65493,54732,Pausha,Shukla,Dvadashi,Krittika,Shubha,Dhanus,Vrishabha,P.shadha,Siddha,Gadha,55228,60360,34698,39831,44963,50095
7,43838,Wed,24452,65526,57688,Pausha,Shukla,Trayodashi,Rohini,Shukla,Dhanus,Vrishabha,P.shadha,Siddha,Subha,44989,50123,29586,34720,39855,44989
8,43839,Thu,24469,65560,60934,Pausha,Shukla,Chaturdashi,Mrigashirsha,Brahma,Dhanus,Mithuna,P.shadha,Marana,Mrutyu,50151,55287,24469,29605,34742,39878
9,43840,Fri,24485,65593,64436,Pausha,Shukla,Purnima,Aardra,Aindra,Dhanus,Mithuna,P.shadha,Siddha,Padma,39901,45039,55316,60454,29624,34762
10,43841,Sat,24501,65626,68102,Pausha,Krishna,Prathama,Punarvasu,Vaidhriti,Dhanus,Karka,P.shadha,Siddha,Chatra,34782,39923,50204,55345,24501,29642
11,43842,Sun,24515,65659,71812,Pausha,Krishna,Dvitiiya,Pushya,Vishkambha,Dhanus,Karka,U.shada,Siddha,Sreevatsa,60516,65659,45087,50230,55373,60516
12,43843,Mon,24529,65692,75462,Pausha,Krishna,Tritiiya,Aslesha,Priti,Dhanus,Simha,U.shada,Siddha,Sowmya,29674,34820,39965,45110,50256,55401
13,43844,Tue,24541,65724,78995,Pausha,Krishna,Chaturthi,Magha,Saubhagya,Dhanus,Simha,U.shada,Siddha,Kaldanda,55428,60576,34837,39985,45133,50281
14,43845,Wed,24553,65756,82409,Pausha,Krishna,Panchami,U.Phalguni,Shobhana,Makara,Kanya,U.shada,Amrita,Vardaman,45155,50305,29703,34854,40004,45155
15,43846,Thu,24563,65788,85738,Pausha,Krishna,Shashthi,Hasta,Atiganda,Makara,Kanya,U.shada,Siddha,Rakshasa,50329,55482,24563,29717,34870,40023
16,43847,Fri,24573,65820,0,Pausha,Krishna,Saptami,Chitra,Sukarman,Makara,Tula,U.shada,Siddha,Musala,40041,45197,55508,60664,29729,34885
17,43848,Sat,24581,65852,2628,Pausha,Krishna,Navami,Svaati,Dhriti,Makara,Tula,U.shada,Amrita,Siddha,34899,40058,50375,55534,24581,29740
18,43849,Sun,24589,65883,5928,Pausha,Krishna,Dashami,Vishaakha,Shuula,Makara,Vrishchika,U.shada,Marana,Utpatha,60721,65883,45236,50397,55559,60721
19,43850,Mon,24595,65913,9265,Pausha,Krishna,Ekadashi,Anuraadha,Ganda,Makara,Vrishchika,U.shada,Siddha,Manasa,29760,34925,40089,45254,50419,55584
20,43851,Tue,24600,65944,12640,Pausha,Krishna,Dvadashi,Jyeshtha,Dhruva,Makara,Dhanus,U.shada,Siddha,Mudgara,55608,60776,34936,40104,45272,50440
21,43852,Wed,24605,65973,16019,Pausha,Krishna,Trayodashi,Mula,Vyaghata,Makara,Dhanus,U.shada,Marana,Dhawaja,45289,50460,29776,34947,40118,45289
22,43853,Thu,24608,66003,19338,Pausha,Krishna,Chaturdashi,P.shadha,Harshana,Makara,Dhanus,U.shada,Siddha,Dhaatru,50480,55654,24608,29782,34957,40131
23,43854,Fri,24610,66032,22522,Pausha,Krishna,Amavasya,U.shada,Vajra,Makara,Makara,U.shada,Siddha,Ananda,40143,45321,55676,60854,29788,34965
24,43855,Sat,24611,66060,25515,Magha,Shukla,Prathama,Shravana,Siddhi,Makara,Makara,Shravana,Siddha,Sthira,34973,40154,50517,55698,24611,29792
25,43856,Sun,24611,66088,28290,Magha,Shukla,Dvitiiya,Dhanishta,Vyatipata,Makara,Kumbha,Shravana,Marana,Mathanga,60904,66088,45350,50534,55719,60904
26,43857,Mon,24610,66116,30857,Magha,Shukla,Tritiiya,Shatabhisha,Variyan,Makara,Kumbha,Shravana,Siddha,Amrutha,29798,34986,40174,45363,50551,55739
27,43858,Tue,24607,66143,33249,Magha,Shukla,Tritiiya,Shatabhisha,Parigha,Makara,Kumbha,Shravana,Marana,Mrutyu,55759,60951,34991,40183,45375,50567
28,43859,Wed,24604,66169,35515,Magha,Shukla,Chaturthi,P.Bhadrapada,Shiva,Makara,Mina,Shravana,Amrita,Padma,45386,50582,29799,34995,40191,45386
29,43860,Thu,24599,66195,37708,Magha,Shukla,Panchami,U.Bhadrapada,Siddha,Makara,Mina,Shravana,Siddha,Chatra,50597,55796,24599,29799,34998,40198
30,43861,Fri,24594,66220,39889,Magha,Shukla,Shashthi,Revati,Sadhya,Makara,Mesha,Shravana,Amrita,Sreevatsa,40204,45407,55814,61017,29797,35000
31,43862,Sat,24587,66245,42118,Magha,Shukla,Saptami,Ashvini,Shubha,Makara,Mesha,Shravana,Siddha,Sowmya,35002,40209,50623,55830,24587,29794
32,43863,Sun,24579,66269,44459,Magha,Shukla,Ashtami,Bharani,Shukla,Makara,Mesha,Shravana,Marana,Kaldanda,61058,66269,45424,50635,55846,61058
33,43864,Mon,24571,66292,46979,Magha,Shukla,Navami,Krittika,Brahma,Makara,Vrishabha,Shravana,Marana,Sthira,29786,35001,40216,45431,50647,55862
34,43865,Tue,24561,66315,49738,Magha,Shukla,Dashami,Rohini,Aindra,Makara,Vrishabha,Shravana,Amrita,Mathanga,55877,61096,34999,40219,45438,50657
35,43866,Wed,24550,66337,52783,Magha,Shukla,Ekadashi,Mrigashirsha,Vaidhriti,Makara,Mithuna,Shravana,Siddha,Amrutha,45444,50667,29773,34997,40220,45444
36,43867,Thu,24538,66359,56122,Magha,Shukla,Dvadashi,Aardra,Vishkambha,Makara,Mithuna,Shravana,Marana,Kala,50676,55904,24538,29765,34993,40221
37,43868,Fri,24525,66380,59712,Magha,Shukla,Trayodashi,Punarvasu,Priti,Makara,Karka,Dhanishta,Siddha,Lamba,40220,45452,55916,61148,29757,34989
38,43869,Sat,24511,66400,63452,Magha,Shukla,Chaturdashi,Pushya,Aayushman,Makara,Karka,Dhanishta,Siddha,Mitra,34983,40219,50692,55928,24511,29747
39,43870,Sun,24496,66420,67224,Magha,Shukla,Purnima,Aslesha,Saubhagya,Makara,Simha,Dhanishta,Siddha,Vajra,61180,66420,45458,50698,55939,61180
40,43871,Mon,24480,66439,70931,Magha,Krishna,Prathama,Magha,Shobhana,Makara,Simha,Dhanishta,Marana,Dwanksha,29725,34970,40215,45460,50704,55949
41,43872,Tue,24463,66458,74529,Magha,Krishna,Tritiiya,P.Phalguni,Atiganda,Makara,Kanya,Dhanishta,Siddha,Dhumra,55959,61208,34962,40211,45460,50710
